2020-01-02 14.08.36[INFO][init(const char*)::<lambda(const std::experimental::filesystem::v1::__cxx11::path&, std::experimental::filesystem::v1::file_status)>]"topic_cache/test_topicxxx"
2020-01-02 14.08.36[INFO][Storage_t* get_db(const char*, unsigned int)]test_topicxxx
2020-01-02 14.08.36[INFO][Storage_t* get_db(const char*, unsigned int)]topic_cache/test_topicxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000000,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000001,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000002,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000003,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000004,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000005,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000006,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000007,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000008,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000009,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000010,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000011,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000012,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000013,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000014,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000015,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000016,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000017,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000018,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000019,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000020,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000021,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000022,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000023,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000024,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000025,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000026,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000027,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000028,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000029,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000030,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000031,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000032,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000033,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000034,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000035,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000036,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000037,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000038,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000039,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000040,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000041,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000042,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000043,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
